UF;Nome;CD;Lat;Long;Carga;Energia
MT;Sorriso;5107925;-55,677341;-12,741843;3703298;8059650,438
MT;Sapezal;5107875;-58,652348;-13,154369;2550475;5004658,046
MT;Nova Mutum;5106224;-56,104692;-13,629828;2239940;4823599,485
MT;Nova Ubiratã;5106240;-54,766078;-12,991081;2134646;4474981,244
MT;Campo Novo do Parecis;5102637;-57,929544;-13,687916;1997666;4105753,76
GO;Jataí;5211909;-51,731977;-17,90976;1837392;4063274,746
MT;Diamantino;5103502;-56,797963;-14,095558;1719752;3566020,021
GO;Rio Verde;5218805;-51,038529;-17,739397;1692677;3640191,888
MT;Lucas do Rio Verde;5105259;-56,165292;-13,037625;1651173;3564746,189
MS;Maracaju;5005400;-55,396552;-21,551966;1558750;3422498,474
BA;São Desidério;2928901;-45,490189;-12,804393;1459887;2747226,313
MT;Campo Verde;5102678;-54,961149;-15,348277;1433833;2799153,332
MT;Primavera do Leste;5107040;-54,220516;-15,097396;1337355;2728019,662
MT;Campos de Júlio;5102686;-59,191383;-13,579357;1321623;2789373,299
MS;Sidrolândia;5007901;-54,942494;-21,093633;1204050;2660588,99
GO;Cristalina;5206206;-47,517958;-16,698648;1188080;2498438,64
MT;Querência;5107065;-52,743195;-12,158216;1100801;2277508,791
MS;Ponta Porã;5006606;-55,581671;-22,202812;1065030;2306925,36
BA;Formosa do Rio Preto;2911105;-45,755647;-11,016713;1063628;2048585,619
MT;Itiquira;5104609;-54,602841;-17,333508;1005869;2174853,584
BA;Correntina;2909307;-45,394992;-13,467029;942908;1862631,504
MT;São Félix do Araguaia;5107859;-51,96852;-11,453629;912044;1942120,281
MT;Brasnorte;5101902;-57,998828;-12,421917;906780;1888218,326
PR;Cascavel;4104808;-53,379693;-25,029348;903485;2026253,863
MS;Dourados;5003702;-54,837997;-22,145179;895130;1924633,384
MS;São Gabriel do Oeste;5007695;-54,48383;-19,169232;868890;1921549,824
MT;Ipiranga do Norte;5104526;-56,055977;-12,013384;856030;1825974,459
MG;Unaí;3170404;-46,819723;-16,375835;781403;1592866,573
MT;Sinop;5107909;-55,50015;-11,711715;767464;1661230,221
MT;Tapurah;5108006;-56,531225;-12,569099;747322;1525296,17
MT;Canarana;5102702;-52,397089;-13,330899;730371;1505086,834
MT;Santa Rita do Trivelato;5107768;-55,294563;-13,832764;714612;1466232,374
PR;Assis Chateaubriand;4102000;-53,585561;-24,424609;711937;1500961,704
PR;Tibagi;4127502;-50,468672;-24,655779;705011;1578536,04
GO;Montividiu;5213756;-51,190657;-17,317946;700664;1497679,389
RS;Cachoeira do Sul;4303004;-52,986384;-30,206239;692639;1436679,765
MT;Tabaporã;5107941;-56,49656;-11,213225;691686;1494482,803
MS;Rio Brilhante;5007208;-54,557328;-21,696203;689054;1502365,658
RS;Uruguaiana;4322400;-56,72953;-29,840636;679821;1504824,178
MT;Porto dos Gaúchos;5106802;-56,747665;-11,734173;673610;1436142,848
PR;Toledo;4127700;-53,777548;-24,704869;667457;1500546,618
SP;Itapeva;3522406;-48,871718;-23,914069;667200;1403674,24
MT;Nova Maringá;5108907;-57,219823;-12,783072;655041;1377471,386
MG;Uberaba;3170107;-47,977162;-19,580931;648260;1389297,152
GO;Chapadão do Céu;5205471;-52,633543;-18,464912;640400;1378427,052
MT;Vera;5108501;-55,345821;-12,421776;606590;1293015,296
GO;Mineiros;5213103;-52,76713;-17,631413;599263;1305964,39
BA;Barreiras;2903201;-45,520009;-12,009956;591397;1139316,921
MS;Aral Moreira;5001243;-55,450108;-22,907494;589259;1280591,088
RS;Santa Vitória do Palmar;4317301;-53,007213;-33,163501;588364;1296022,736
MS;Costa Rica;5003256;-53,203013;-18,519344;584836;1205233,001
DF;Brasília;5300108;-47,797361;-15,780692;572591;1222407,295
RS;Itaqui;4310603;-56,17566;-29,213734;559695;1243343,456
MT;Feliz Natal;5103700;-54,166797;-11,917537;543546;1169138,083
PR;Guarapuava;4109401;-51,49002;-25,371765;530577;1195085,101
PA;Paragominas;1505502;-47,603167;-3,203462;526863;973646,4251
MT;Santo Antônio do Leste;5107792;-53,671005;-14,81919;526334;1055257,843
MT;Santa Carmem;5107248;-54,902983;-11,935387;524820;1148214,144
PR;Ubiratã;4128005;-53,021667;-24,504933;521301;1191967,308
MS;Chapadão do Sul;5002951;-52,698222;-18,994229;517834;1101511,013
MT;Tangará da Serra;5107958;-58,317695;-14,423506;516569;1076730,62
RS;Tupanciretã;4322202;-54,003332;-29,020616;515415;1085978,293
GO;Caiapônia;5204409;-51,81463;-17,007129;505555;1081215,704
RS;São Borja;4318002;-55,796576;-28,746688;503360;1112790,272
MG;Paracatu;3147006;-46,8842;-17,173152;502938;978840,5952
MS;Itaporã;5004502;-54,873718;-22,00248;494332;1084529,301
PR;São Miguel do Iguaçu;4125704;-54,262029;-25,387489;491328;1089672,667
PR;Palotina;4117909;-53,82404;-24,274636;484130;1083834,252
MT;Cláudia;5103056;-55,048739;-11,447527;480916;1031742,827
BA;Luís Eduardo Magalhães;2919553;-45,989709;-12,193658;480899;983036,4128
MT;Alto Garças;5100409;-53,582934;-16,879031;475808;1001199,584
RS;Palmeira das Missões;4313706;-53,382111;-27,940155;475236;1046525,491
PR;Castro;4104907;-49,841672;-24,799609;469967;1033238,381
GO;Catalão;5205109;-47,665143;-17,931473;469364;984385,0848
MT;Paranatinga;5106307;-54,10909;-13,677354;462393;929635,248
