cod,CD_x,CD_y,Distância
0,3500105,3500204,230.626
1,3500105,3500808,98.313
2,3500105,3501103,118.9
3,3500105,3501202,237.86
4,3500105,3501301,124.407
5,3500105,3501400,185.824
6,3500105,3501509,201.972
7,3500105,3501806,262.202
8,3500105,3502101,126.456
9,3500105,3502408,147.335
10,3500105,3502606,181.948
11,3500105,3502804,113.147
12,3500105,3503356,101.192
13,3500105,3503950,231.144
14,3500105,3504008,176.398
15,3500105,3504206,166.337
16,3500105,3504305,253.025
17,3500105,3504404,152.123
18,3500105,3504602,231.067
19,3500105,3504701,241.511
20,3500105,3504800,258.454
21,3500105,3505104,162.08
22,3500105,3505807,70.123
23,3500105,3506201,48.998
24,3500105,3506300,292.027
25,3500105,3506409,103.302
26,3500105,3506508,115.261
27,3500105,3507209,140.782
28,3500105,3507704,102.936
29,3500105,3507753,137.565
30,3500105,3508108,141.242
31,3500105,3508306,248.916
32,3500105,3508801,207.114
33,3500105,3508900,58.777
34,3500105,3509106,151.765
35,3500105,3509809,221.14
36,3500105,3510005,197.328
37,3500105,3510153,254.559
38,3500105,3510708,258.623
39,3500105,3511003,145.096
40,3500105,3511300,256.061
41,3500105,3511904,91.654
42,3500105,3512506,117.844
43,3500105,3512902,248.026
44,3500105,3513306,188.926
45,3500105,3513850,190.482
46,3500105,3514205,221.471
47,3500105,3514403,73.031
48,3500105,3514502,235.469
49,3500105,3514700,192.253
50,3500105,3515129,75.171
51,3500105,3515194,274.506
52,3500105,3515202,209.886
53,3500105,3515301,176.741
54,3500105,3515350,256.406
55,3500105,3515400,343.235
56,3500105,3515509,221.043
57,3500105,3515657,218.294
58,3500105,3515806,59.818
59,3500105,3515905,175.781
60,3500105,3516002,27.77
61,3500105,3516101,211.408
62,3500105,3516507,91.278
63,3500105,3516606,208.87
64,3500105,3516705,189.992
65,3500105,3516804,158.508
66,3500105,3516903,168.13
67,3500105,3517000,144.78
68,3500105,3517109,132.343
69,3500105,3517208,183.483
70,3500105,3517307,203.044
71,3500105,3517406,374.691
72,3500105,3517505,262.14
73,3500105,3517802,109.726
74,3500105,3518008,250.028
75,3500105,3518107,211.726
76,3500105,3518206,80.043
77,3500105,3518909,179.171
78,3500105,3519006,98.585
79,3500105,3519204,69.173
80,3500105,3519402,253.201
81,3500105,3519501,216.524
82,3500105,3519907,161.936
83,3500105,3520442,182.619
84,3500105,3520608,109.03
85,3500105,3520707,256.603
86,3500105,3520806,29.253
87,3500105,3520905,273.752
88,3500105,3521150,272.654
89,3500105,3521507,242.656
90,3500105,3521606,45.642
91,3500105,3523008,172.363
92,3500105,3524501,212.156
93,3500105,3524808,201.485
94,3500105,3525607,119.581
95,3500105,3525706,182.755
96,3500105,3525805,184.311
97,3500105,3526001,57.04
98,3500105,3526506,78.081
99,3500105,3527108,187.414
100,3500105,3527256,155.837
101,3500105,3527405,26.781
102,3500105,3527504,233.081
103,3500105,3527702,103.298
104,3500105,3527801,189.807
105,3500105,3527900,167.529
106,3500105,3528106,182.592
107,3500105,3528205,248.927
108,3500105,3528304,187.341
109,3500105,3528700,179.1
110,3500105,3528809,176.766
111,3500105,3528858,277.644
112,3500105,3528908,36.016
113,3500105,3529005,146.338
114,3500105,3529104,189.16
115,3500105,3529203,109.071
116,3500105,3529500,220.197
117,3500105,3529609,215.301
118,3500105,3529658,251.652
119,3500105,3530003,265.506
120,3500105,3530102,98.555
121,3500105,3530201,207.172
122,3500105,3530300,230.441
123,3500105,3530409,276.835
124,3500105,3531001,169.209
125,3500105,3531407,218.769
126,3500105,3531605,93.519
127,3500105,3531902,394.754
128,3500105,3532108,111.964
129,3500105,3532157,165.552
130,3500105,3532207,201.534
131,3500105,3532504,214.782
132,3500105,3532603,188.511
133,3500105,3532702,215.792
134,3500105,3532801,229.043
135,3500105,3532843,231.824
136,3500105,3532868,158.824
137,3500105,3533007,280.203
138,3500105,3533106,86.215
139,3500105,3533205,107.553
140,3500105,3533304,151.593
141,3500105,3533502,270.585
142,3500105,3533700,197.607
143,3500105,3533809,327.934
144,3500105,3534005,273.482
145,3500105,3534104,134.205
146,3500105,3534203,338.579
147,3500105,3534500,183.064
148,3500105,3534609,39.91
149,3500105,3534708,246.294
150,3500105,3534757,243.706
151,3500105,3534807,92.423
152,3500105,3534906,36.842
153,3500105,3535002,304.858
154,3500105,3535200,209.73
155,3500105,3535309,211.799
156,3500105,3535408,113.525
157,3500105,3535507,154.731
158,3500105,3535903,231.93
159,3500105,3536000,53.998
160,3500105,3536257,235.465
161,3500105,3536406,116.557
162,3500105,3536570,264.471
163,3500105,3536604,314.947
164,3500105,3536901,246.41
165,3500105,3537156,199.361
166,3500105,3537305,136.649
167,3500105,3537404,158.486
168,3500105,3537701,82.582
169,3500105,3538303,150.141
170,3500105,3538907,225.925
171,3500105,3539202,179.908
172,3500105,3539400,263.681
173,3500105,3539608,196.037
174,3500105,3539707,200.866
175,3500105,3539905,216.691
176,3500105,3540002,135.483
177,3500105,3540101,234.457
178,3500105,3540259,177.899
179,3500105,3540309,281.437
180,3500105,3540408,247.566
181,3500105,3540804,237.521
182,3500105,3540853,36.215
183,3500105,3541109,241
184,3500105,3541208,140.151
185,3500105,3541307,176.609
186,3500105,3541406,78.275
187,3500105,3541505,128.466
188,3500105,3541604,162.913
189,3500105,3541703,114.442
190,3500105,3541802,113.656
191,3500105,3542008,105.804
192,3500105,3542206,110.608
193,3500105,3542404,128.196
194,3500105,3542503,254.223
195,3500105,3543204,228.434
196,3500105,3543238,116.051
197,3500105,3543808,62.368
198,3500105,3544202,287.574
199,3500105,3544251,278.619
200,3500105,3544400,84.246
201,3500105,3544509,241.482
202,3500105,3544608,208.94
203,3500105,3544707,43.791
204,3500105,3544806,240.886
205,3500105,3545100,31.181
206,3500105,3545407,232.575
207,3500105,3545506,205.472
208,3500105,3545704,237.046
209,3500105,3546108,255.723
210,3500105,3546405,282.448
211,3500105,3546603,237.401
212,3500105,3547106,90.188
213,3500105,3547205,234.391
214,3500105,3547403,251.89
215,3500105,3547650,226.263
216,3500105,3547700,160.237
217,3500105,3548054,139.15
218,3500105,3548302,74.276
219,3500105,3548401,82.045
220,3500105,3549003,216.764
221,3500105,3549201,202.343
222,3500105,3549250,185.893
223,3500105,3549300,104.188
224,3500105,3549805,243.416
225,3500105,3550506,226.641
226,3500105,3551207,322.429
227,3500105,3551306,209.353
228,3500105,3552304,173.959
229,3500105,3552551,178.531
230,3500105,3552908,164.127
231,3500105,3553401,255.071
232,3500105,3553906,166.578
233,3500105,3553955,193.983
234,3500105,3554300,247.586
235,3500105,3554607,308.25
236,3500105,3554904,234.967
