biomass_provider,plant_location
Assis Chateaubriand,Assis Chateaubriand
Tupãssi,Assis Chateaubriand
Alto Piquiri,Assis Chateaubriand
Nova Aurora,Assis Chateaubriand
Formosa Do Oeste,Assis Chateaubriand
Jesuítas,Assis Chateaubriand
Brasilândia Do Sul,Assis Chateaubriand
Iracema Do Oeste,Assis Chateaubriand
Perobal,Assis Chateaubriand
Mato Rico,Campina Da Lagoa
Palmital,Campina Da Lagoa
Altamira Do Paraná,Campina Da Lagoa
Nova Cantu,Campina Da Lagoa
Juranda,Campina Da Lagoa
Campina Da Lagoa,Campina Da Lagoa
Ubiratã,Campina Da Lagoa
Mamborê,Campina Da Lagoa
Roncador,Campina Da Lagoa
Marquinho,Campina Da Lagoa
Campo Bonito,Campina Da Lagoa
Laranjal,Campina Da Lagoa
Diamante Do Sul,Cascavel
Ibema,Cascavel
Santa Lúcia,Cascavel
Lindoeste,Cascavel
Boa Vista Da Aparecida,Cascavel
Capitão Leônidas Marques,Cascavel
Pérola D'oeste,Cascavel
Guaraniaçu,Cascavel
Planalto,Cascavel
Braganey,Cascavel
Três Barras Do Paraná,Cascavel
São Pedro Do Iguaçu,Cascavel
Ouro Verde Do Oeste,Cascavel
Vera Cruz Do Oeste,Cascavel
Santa Tereza Do Oeste,Cascavel
Catanduvas,Cascavel
Corbélia,Cascavel
Céu Azul,Cascavel
Toledo,Cascavel
Cascavel,Cascavel
Nova Laranjeiras,Cascavel
São José Das Palmeiras,Cascavel
Cafelândia,Cascavel
Iguatu,Cascavel
Anahy,Cascavel
Capanema,Cascavel
Piraí Do Sul,Castro
Castro,Castro
Carambeí,Castro
Ponta Grossa,Castro
Doutor Ulysses,Castro
Assaí,Cornélio Procópio
Nova Santa Bárbara,Cornélio Procópio
Itambaracá,Cornélio Procópio
Santo Antônio Do Paraíso,Cornélio Procópio
Rancho Alegre,Cornélio Procópio
São Sebastião Da Amoreira,Cornélio Procópio
Uraí,Cornélio Procópio
São Jerônimo Da Serra,Cornélio Procópio
Bandeirantes,Cornélio Procópio
Congonhinhas,Cornélio Procópio
Nova Fátima,Cornélio Procópio
Leópolis,Cornélio Procópio
Sertaneja,Cornélio Procópio
Santa Mariana,Cornélio Procópio
Santa Cecília Do Pavão,Cornélio Procópio
Cornélio Procópio,Cornélio Procópio
Andirá,Cornélio Procópio
Cambará,Cornélio Procópio
Jundiaí Do Sul,Cornélio Procópio
Barra Do Jacaré,Cornélio Procópio
Jacarezinho,Cornélio Procópio
Abatiá,Cornélio Procópio
Ribeirão Do Pinhal,Cornélio Procópio
Santa Amélia,Cornélio Procópio
Sapopema,Cornélio Procópio
Jataizinho,Cornélio Procópio
Nova América Da Colina,Cornélio Procópio
Grandes Rios,Engenheiro Beltrão
Cruzeiro Do Sul,Engenheiro Beltrão
Uniflor,Engenheiro Beltrão
Bom Sucesso,Engenheiro Beltrão
Sarandi,Engenheiro Beltrão
Maringá,Engenheiro Beltrão
São Jorge Do Ivaí,Engenheiro Beltrão
Engenheiro Beltrão,Engenheiro Beltrão
São João Do Ivaí,Engenheiro Beltrão
Luiziana,Engenheiro Beltrão
Quinta Do Sol,Engenheiro Beltrão
Itambé,Engenheiro Beltrão
Campo Mourão,Engenheiro Beltrão
Floresta,Engenheiro Beltrão
Araruna,Engenheiro Beltrão
Barbosa Ferraz,Engenheiro Beltrão
Ourizona,Engenheiro Beltrão
Doutor Camargo,Engenheiro Beltrão
Ivatuba,Engenheiro Beltrão
Mandaguaçu,Engenheiro Beltrão
Floraí,Engenheiro Beltrão
Ivaiporã,Engenheiro Beltrão
São Pedro Do Ivaí,Engenheiro Beltrão
Jussara,Engenheiro Beltrão
Jardim Alegre,Engenheiro Beltrão
Ariranha Do Ivaí,Engenheiro Beltrão
Cianorte,Engenheiro Beltrão
