biomass_provider,plant_location
Porto Ferreira,Aguaí
Santa Cruz Das Palmeiras,Aguaí
Itobi,Aguaí
São João Da Boa Vista,Aguaí
Mococa,Aguaí
Pirassununga,Aguaí
Aguaí,Aguaí
Brotas,Aguaí
São Pedro,Aguaí
Lindóia,Aguaí
São Bento Do Sapucaí,Aguaí
Pedreira,Aguaí
Bananal,Aguaí
Ipeúna,Aguaí
Piracaia,Aguaí
Guararema,Aguaí
Joanópolis,Aguaí
Lagoinha,Aguaí
Jundiaí,Aguaí
Águas De Lindóia,Aguaí
São Luiz Do Paraitinga,Aguaí
Iracemápolis,Aguaí
Aparecida,Aguaí
Potim,Aguaí
Santa Bárbara D'oeste,Aguaí
Canas,Aguaí
Sumaré,Aguaí
Jarinu,Aguaí
Limeira,Aguaí
Nazaré Paulista,Aguaí
Santa Gertrudes,Aguaí
Corumbataí,Aguaí
Itirapina,Aguaí
Caçapava,Aguaí
Itupeva,Aguaí
Pindamonhangaba,Aguaí
Roseira,Aguaí
Itatiba,Aguaí
Cunha,Aguaí
Tremembé,Aguaí
Jaguariúna,Aguaí
Santa Cruz Da Conceição,Aguaí
Campinas,Aguaí
Morungaba,Aguaí
Vargem,Aguaí
Serra Negra,Aguaí
Rio Claro,Aguaí
Taubaté,Aguaí
Amparo,Aguaí
Atibaia,Aguaí
Guaratinguetá,Aguaí
Cosmópolis,Aguaí
Cordeirópolis,Aguaí
Araras,Aguaí
Artur Nogueira,Aguaí
Socorro,Aguaí
Monte Alegre Do Sul,Aguaí
Mogi Guaçu,Aguaí
Mogi Mirim,Aguaí
Espírito Santo Do Pinhal,Aguaí
Estiva Gerbi,Aguaí
Conchal,Aguaí
Itapira,Aguaí
Santo Antônio De Posse,Aguaí
Holambra,Aguaí
Bragança Paulista,Aguaí
Pedra Bela,Aguaí
Tuiuti,Aguaí
Pinhalzinho,Aguaí
Engenheiro Coelho,Aguaí
Leme,Aguaí
Cachoeira Paulista,Aguaí
Cruzeiro,Aguaí
Valinhos,Aguaí
Bom Jesus Dos Perdões,Aguaí
Paulínia,Aguaí
Charqueada,Aguaí
São José Do Barreiro,Aguaí
Louveira,Aguaí
Areias,Aguaí
Natividade Da Serra,Aguaí
Silveiras,Aguaí
Vinhedo,Aguaí
Lavrinhas,Aguaí
São José Dos Campos,Aguaí
Caraguatatuba,Aguaí
Queluz,Aguaí
Arapeí,Aguaí
Santo Antônio Do Pinhal,Aguaí
Ubatuba,Aguaí
Igaratá,Aguaí
