"Cod";"Municipio";"Total";"Algodao";"Arroz";"Feijao";"Mandioca";"Milho";"Soja";"Trigo"
"1100015";"Alta Floresta D'Oeste (RO)";"..";"-";"705";"2044";"11320";"15667";"1350";"-"
"1100023";"Ariquemes (RO)";"..";"-";"2680";"9";"8100";"3330";"10959";"-"
"1100031";"Cabixi (RO)";"..";"-";"7760";"-";"575";"81690";"70320";"-"
"1100049";"Cacoal (RO)";"..";"-";"90";"788";"13400";"3616";"1710";"-"
"1100056";"Cerejeiras (RO)";"..";"-";"3200";"40";"2720";"105760";"98000";"-"
"1100064";"Colorado do Oeste (RO)";"..";"-";"252";"4";"3255";"11400";"10888";"-"
"1100072";"Corumbiara (RO)";"..";"-";"7200";"30";"1800";"144360";"125500";"-"
"1100080";"Costa Marques (RO)";"..";"-";"-";"4";"2395";"20";"-";"-"
"1100098";"Espigão D'Oeste (RO)";"..";"-";"84";"126";"5310";"5482";"3240";"-"
"1100106";"Guajará-Mirim (RO)";"..";"-";"14";"7";"10300";"103";"-";"-"
"1100114";"Jaru (RO)";"..";"-";"12";"336";"44500";"578";"-";"-"
"1100122";"Ji-Paraná (RO)";"..";"-";"-";"-";"7812";"1080";"-";"-"
"1100130";"Machadinho D'Oeste (RO)";"..";"-";"4382";"36";"106575";"2088";"17788";"-"
"1100148";"Nova Brasilândia D'Oeste (RO)";"..";"-";"6";"-";"5400";"552";"-";"-"
"1100155";"Ouro Preto do Oeste (RO)";"..";"-";"6";"-";"2060";"200";"-";"-"
"1100189";"Pimenta Bueno (RO)";"..";"-";"90";"50";"7040";"853";"3680";"-"
"1100205";"Porto Velho (RO)";"..";"-";"24245";"288";"169434";"57963";"30880";"-"
"1100254";"Presidente Médici (RO)";"..";"-";"9";"30";"9620";"630";"-";"-"
"1100262";"Rio Crespo (RO)";"..";"-";"5625";"7";"7750";"8575";"39533";"-"
"1100288";"Rolim de Moura (RO)";"..";"-";"450";"30";"9000";"2289";"14894";"-"
"1100296";"Santa Luzia D'Oeste (RO)";"..";"-";"60";"62";"1496";"960";"1920";"-"
"1100304";"Vilhena (RO)";"..";"-";"300";"330";"4045";"275460";"188100";"-"
"1100320";"São Miguel do Guaporé (RO)";"..";"-";"5850";"-";"7000";"15132";"27000";"-"
"1100338";"Nova Mamoré (RO)";"..";"-";"2590";"24";"12800";"1665";"690";"-"
"1100346";"Alvorada D'Oeste (RO)";"..";"-";"210";"150";"4540";"360";"3036";"-"
"1100379";"Alto Alegre dos Parecis (RO)";"..";"-";"480";"10733";"5720";"20520";"10135";"-"
"1100403";"Alto Paraíso (RO)";"..";"-";"5006";"12";"1310";"1484";"21882";"-"
"1100452";"Buritis (RO)";"..";"-";"21";"251";"11000";"433";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"..";"-";"99";"144";"2540";"559";"-";"-"
"1100601";"Cacaulândia (RO)";"..";"-";"-";"2";"16425";"54";"-";"-"
"1100700";"Campo Novo de Rondônia (RO)";"..";"-";"338";"7";"12000";"288";"-";"-"
"1100809";"Candeias do Jamari (RO)";"..";"-";"4650";"12";"25000";"2160";"13500";"-"
"1100908";"Castanheiras (RO)";"..";"-";"3";"7";"6130";"3675";"6300";"-"
"1100924";"Chupinguaia (RO)";"..";"-";"6600";"23";"1500";"60216";"85800";"-"
"1100940";"Cujubim (RO)";"..";"-";"9345";"2";"3900";"2498";"17985";"-"
"1101005";"Governador Jorge Teixeira (RO)";"..";"-";"23";"72";"6700";"1053";"-";"-"
"1101104";"Itapuã do Oeste (RO)";"..";"-";"429";"6";"4520";"2175";"6696";"-"
"1101203";"Ministro Andreazza (RO)";"..";"-";"5";"118";"1890";"1050";"-";"-"
"1101302";"Mirante da Serra (RO)";"..";"-";"36";"560";"17700";"4875";"-";"-"
"1101401";"Monte Negro (RO)";"..";"-";"5";"2";"26200";"45";"-";"-"
"1101435";"Nova União (RO)";"..";"-";"-";"40";"3240";"1470";"-";"-"
"1101450";"Parecis (RO)";"..";"-";"15";"36";"1980";"1350";"3540";"-"
"1101468";"Pimenteiras do Oeste (RO)";"..";"-";"3840";"-";"560";"76807";"79200";"-"
"1101476";"Primavera de Rondônia (RO)";"..";"-";"264";"31";"1440";"264";"-";"-"
"1101484";"São Felipe D'Oeste (RO)";"..";"-";"18";"27";"980";"2580";"1276";"-"
"1101492";"São Francisco do Guaporé (RO)";"..";"-";"3750";"-";"4500";"1000";"2100";"-"
"1101500";"Seringueiras (RO)";"..";"-";"3600";"-";"8400";"2760";"9000";"-"
"1101559";"Teixeirópolis (RO)";"..";"-";"-";"-";"2736";"285";"-";"-"
"1101609";"Theobroma (RO)";"..";"-";"10";"43";"17820";"4834";"1650";"-"
"1101708";"Urupá (RO)";"..";"-";"2";"-";"2880";"529";"-";"-"
"1101757";"Vale do Anari (RO)";"..";"-";"378";"13";"9750";"999";"150";"-"
"1101807";"Vale do Paraíso (RO)";"..";"-";"-";"5";"3200";"180";"-";"-"
"1200013";"Acrelândia (AC)";"..";"-";"115";"208";"16500";"3120";"-";"-"
"1200054";"Assis Brasil (AC)";"..";"-";"268";"196";"10790";"1200";"-";"-"
"1200104";"Brasiléia (AC)";"..";"-";"325";"301";"16880";"4595";"-";"-"
"1200138";"Bujari (AC)";"..";"-";"80";"145";"41741";"4000";"-";"-"
"1200179";"Capixaba (AC)";"..";"-";"179";"95";"33788";"8058";"81";"-"
"1200203";"Cruzeiro do Sul (AC)";"..";"-";"457";"293";"73225";"1715";"-";"-"
"1200252";"Epitaciolândia (AC)";"..";"-";"680";"132";"19204";"4610";"-";"-"
"1200302";"Feijó (AC)";"..";"-";"495";"161";"82500";"6290";"-";"-"
